precio,superficie,baños,habitaciones,precio/metro,Barrio
700,42,1,1,17,El Putxet-El Farró 
1130,64,2,2,18,Sant Gervasi-La Bonanova 
1400,106,2,4,13,Sarrià 
1350,86,1,3,16,Sant Gervasi-La Bonanova 
1500,92,2,3,16,Sarrià 
1000,105,2,4,10,Sant Gervasi-Galvany 
1750,135,2,3,13,Sant Gervasi-Galvany 
2350,171,2,3,14,Sant Gervasi-Galvany 
1400,125,2,4,11,Sant Gervasi-Galvany 
1390,130,2,3,11,Sant Gervasi-Galvany 
950,45,1,1,21,El Putxet-El Farró 
2200,120,2,3,18,Sant Gervasi-Galvany 
4700,300,5,5,16,Sarrià 
700,50,1,1,14,El Putxet-El Farró 
1450,91,2,4,16,El Putxet-El Farró 
3850,190,3,4,20,Sant Gervasi-Galvany 
1600,147,2,3,11,El Putxet-El Farró 
1250,118,2,4,11,El Putxet-El Farró 
1200,50,1,1,24,Sarrià 
1300,100,2,2,13,Sant Gervasi-Galvany 
800,86,1,2,9,Sant Gervasi-Galvany 
950,70,1,2,14,Sant Gervasi-Galvany 
2680,107,2,3,25,Sant Gervasi-Galvany 
1650,112,2,3,15,Sarrià 
2577,96,2,2,27,Sarrià 
990,79,1,3,13,Sant Gervasi-La Bonanova 
2250,152,3,4,15,Les Tres Torres 
1500,69,2,3,22,El Putxet-El Farró 
2500,300,4,4,8,Vallvidrera-El Tibidabo-Les Planes 
1400,133,2,4,11,Sant Gervasi-La Bonanova 
1550,101,2,3,15,Les Tres Torres 
1200,45,1,1,27,El Putxet-El Farró 
3200,146,2,4,22,Sant Gervasi-Galvany 
1400,85,2,3,16,El Putxet-El Farró 
5000,260,4,4,19,Sant Gervasi-Galvany 
1550,100,2,2,16,Sant Gervasi-Galvany 
1400,67,2,2,21,Sant Gervasi-Galvany 
3400,279,4,5,12,Sant Gervasi-Galvany 
1080,85,1,3,13,El Putxet-El Farró 
900,60,1,1,15,El Putxet-El Farró 
1108,80,1,2,14,Sant Gervasi-Galvany 
1550,80,1,3,19,Sant Gervasi-Galvany 
950,100,2,2,10,El Putxet-El Farró 
2500,195,2,3,13,Sarrià 
1200,97,2,4,12,Sarrià 
1198,76,1,3,16,El Putxet-El Farró 
920,72,1,2,13,Sant Gervasi-Galvany 
1650,115,2,2,14,El Putxet-El Farró 
1550,100,2,3,16,Les Tres Torres 
1350,95,2,2,14,Sarrià 
795,48,1,1,17,El Putxet-El Farró 
850,61,1,1,14,Sant Gervasi-Galvany 
3200,149,2,3,21,Sant Gervasi-Galvany 
1700,96,1,3,18,Les Tres Torres 
1550,132,2,5,12,Sant Gervasi-La Bonanova 
975,85,2,4,11,El Putxet-El Farró 
2400,171,2,4,14,Sant Gervasi-La Bonanova 
1550,80,1,3,19,Sant Gervasi-Galvany 
1100,110,2,3,10,El Putxet-El Farró 
2070,126,3,3,16,Sant Gervasi-Galvany 
1900,96,2,3,20,El Putxet-El Farró 
1400,50,1,1,28,Sant Gervasi-Galvany 
1700,85,2,3,20,El Putxet-El Farró 
1100,62,1,2,18,Sarrià 
2350,149,2,3,16,Sant Gervasi-Galvany 
1500,105,1,3,14,El Putxet-El Farró 
1627,74,2,2,22,Sarrià 
8400,750,7,5,11,Vallvidrera-El Tibidabo-Les Planes 
2500,140,2,3,18,Sant Gervasi-Galvany 
1550,120,2,3,13,Les Tres Torres 
3770,190,3,4,20,Sant Gervasi-Galvany 
3500,205,2,3,17,Sarrià 
1100,75,1,2,15,Sarrià 
2600,172,3,4,15,Sant Gervasi-Galvany 
900,87,2,4,10,Sant Gervasi-Galvany 
1300,85,2,3,15,Sant Gervasi-Galvany 
2300,132,2,3,17,Sant Gervasi-Galvany 
860,69,1,3,12,El Putxet-El Farró 
4808,290,4,5,17,Sant Gervasi-Galvany 
2700,148,3,4,18,Sant Gervasi-La Bonanova 
898,51,1,1,18,Sant Gervasi-Galvany 
1950,106,2,3,18,Sant Gervasi-La Bonanova 
2900,250,3,4,12,Sant Gervasi-Galvany 
2500,140,2,3,18,Sant Gervasi-Galvany 
800,55,1,2,15,Sant Gervasi-Galvany 
1400,85,2,2,16,El Putxet-El Farró 
900,50,1,2,18,Sarrià 
1550,144,2,5,11,Sant Gervasi-Galvany 
1250,67,1,1,19,Sant Gervasi-Galvany 
1810,60,1,1,30,Sarrià 
1600,129,1,3,12,Sarrià 
1100,70,1,2,16,Sarrià 
1450,55,1,2,26,Sant Gervasi-Galvany 
10000,325,2,4,31,Sant Gervasi-La Bonanova 
2950,128,3,3,23,Sant Gervasi-La Bonanova 
3000,250,3,3,12,Sant Gervasi-Galvany 
3000,168,3,3,18,Sant Gervasi-Galvany 
3000,274,3,4,11,Sant Gervasi-Galvany 
2800,136,2,3,21,Sant Gervasi-Galvany 
1600,113,2,3,14,Sant Gervasi-La Bonanova 
