precio,superficie,baños,habitaciones,precio/metro,Barrio
1800,66,1,2,27,La Dreta de l'Eixample 
1950,145,2,4,13,La Dreta de l'Eixample 
2700,110,2,4,25,La Dreta de l'Eixample 
1000,60,2,4,17,La Dreta de l'Eixample 
4500,147,3,3,31,La Dreta de l'Eixample 
1700,80,1,1,21,La Dreta de l'Eixample 
1550,80,2,2,19,La Dreta de l'Eixample 
1250,120,2,4,10,La Nova Esquerra de l'Eixample 
1250,65,1,1,19,La Dreta de l'Eixample 
1400,105,2,3,13,La Nova Esquerra de l'Eixample 
2600,160,3,3,16,La Dreta de l'Eixample 
1500,85,2,3,18,El Fort Pienc 
1800,60,1,2,30,La Dreta de l'Eixample 
1360,99,2,4,14,La Dreta de l'Eixample 
1100,100,2,3,11,La Sagrada Família 
950,85,2,4,11,El Fort Pienc 
1150,69,2,3,17,El Fort Pienc 
1150,75,2,3,15,L'Antiga Esquerra de l'Eixample 
1100,75,2,2,15,La Dreta de l'Eixample 
990,90,2,3,11,Sant Antoni 
1400,90,2,3,16,La Nova Esquerra de l'Eixample 
1300,120,2,4,11,La Nova Esquerra de l'Eixample 
1350,104,2,4,13,El Fort Pienc 
1100,50,1,1,22,El Fort Pienc 
1450,101,2,3,14,L'Antiga Esquerra de l'Eixample 
1500,90,1,2,17,La Dreta de l'Eixample 
1000,75,1,3,13,La Dreta de l'Eixample 
1200,99,2,3,12,Sant Antoni 
1100,62,1,2,18,L'Antiga Esquerra de l'Eixample 
1100,60,1,1,18,La Nova Esquerra de l'Eixample 
1200,80,1,4,15,La Nova Esquerra de l'Eixample 
1300,141,3,5,9,L'Antiga Esquerra de l'Eixample 
1050,70,1,2,15,L'Antiga Esquerra de l'Eixample 
700,45,1,1,16,La Sagrada Família 
1200,80,2,2,15,La Dreta de l'Eixample 
1500,85,2,4,18,La Sagrada Família 
1400,68,1,1,21,La Sagrada Família 
1300,85,1,4,15,L'Antiga Esquerra de l'Eixample 
1500,80,2,3,19,La Sagrada Família 
2600,89,2,3,29,La Dreta de l'Eixample 
785,62,2,4,13,El Fort Pienc 
890,80,1,3,11,Sant Antoni 
690,40,1,2,17,El Fort Pienc 
1100,76,1,2,14,La Nova Esquerra de l'Eixample 
1500,70,1,2,21,La Dreta de l'Eixample 
900,50,1,1,18,L'Antiga Esquerra de l'Eixample 
2990,157,2,3,19,La Dreta de l'Eixample 
1100,67,1,3,16,La Nova Esquerra de l'Eixample 
1300,91,1,2,14,L'Antiga Esquerra de l'Eixample 
1200,90,2,3,13,La Sagrada Família 
2000,95,2,3,21,La Dreta de l'Eixample 
2200,85,2,3,26,La Dreta de l'Eixample 
980,65,1,2,15,Sant Antoni 
1900,120,2,3,16,La Dreta de l'Eixample 
1700,175,3,3,10,L'Antiga Esquerra de l'Eixample 
2700,122,2,3,22,La Dreta de l'Eixample 
1350,81,2,3,17,El Fort Pienc 
1040,77,1,2,14,La Sagrada Família 
1100,65,1,1,17,La Dreta de l'Eixample 
1500,100,2,3,15,L'Antiga Esquerra de l'Eixample 
1950,100,2,2,20,El Fort Pienc 
950,50,1,1,19,La Nova Esquerra de l'Eixample 
1200,55,1,2,22,L'Antiga Esquerra de l'Eixample 
980,94,2,3,10,La Dreta de l'Eixample 
1000,76,1,3,13,Sant Antoni 
1250,96,2,4,13,La Sagrada Família 
950,90,2,2,11,La Nova Esquerra de l'Eixample 
1400,100,2,3,14,L'Antiga Esquerra de l'Eixample 
825,70,1,2,12,L'Antiga Esquerra de l'Eixample 
1800,80,2,3,23,L'Antiga Esquerra de l'Eixample 
1800,170,2,3,11,L'Antiga Esquerra de l'Eixample 
1250,59,1,1,21,La Sagrada Família 
1250,95,2,4,13,La Nova Esquerra de l'Eixample 
975,78,1,3,13,Sant Antoni 
700,60,1,1,12,La Sagrada Família 
950,77,1,3,12,La Dreta de l'Eixample 
1200,60,1,2,20,La Dreta de l'Eixample 
900,80,1,3,11,La Nova Esquerra de l'Eixample 
1600,65,2,2,25,La Dreta de l'Eixample 
1100,62,1,2,18,L'Antiga Esquerra de l'Eixample 
1900,75,1,2,25,La Dreta de l'Eixample 
1300,95,2,3,14,L'Antiga Esquerra de l'Eixample 
2000,100,2,3,20,L'Antiga Esquerra de l'Eixample 
1200,75,2,2,16,La Dreta de l'Eixample 
2500,100,2,2,25,La Dreta de l'Eixample 
5794,100,2,2,58,La Dreta de l'Eixample 
800,75,1,4,11,La Nova Esquerra de l'Eixample 
985,90,2,3,11,El Fort Pienc 
1250,93,1,4,13,La Sagrada Família 
2300,105,2,3,22,La Nova Esquerra de l'Eixample 
1600,140,2,4,11,L'Antiga Esquerra de l'Eixample 
1200,103,2,3,12,L'Antiga Esquerra de l'Eixample 
1350,111,2,4,12,La Nova Esquerra de l'Eixample 
1300,44,1,1,30,La Dreta de l'Eixample 
1100,65,1,2,17,L'Antiga Esquerra de l'Eixample 
1250,85,1,3,15,L'Antiga Esquerra de l'Eixample 
900,80,2,2,11,Sant Antoni 
1600,70,1,2,23,La Dreta de l'Eixample 
