precio,superficie,baños,habitaciones,precio/metro,Barrio
1.900,110,1,4,17,La Dreta de l'Eixample 
850,51,1,1,17,La Sagrada Família 
980,75,1,3,13,La Dreta de l'Eixample 
1.400,93,2,3,15,El Fort Pienc 
1.300,66,1,2,20,La Nova Esquerra de l'Eixample 
1.800,110,1,2,16,La Dreta de l'Eixample 
1.200,65,1,1,18,Sant Antoni 
790,50,1,1,16,La Nova Esquerra de l'Eixample 
1.000,64,1,2,16,L'Antiga Esquerra de l'Eixample 
2.500,225,4,4,11,La Dreta de l'Eixample 
1.890,140,2,4,14,La Dreta de l'Eixample 
1.200,90,2,3,13,La Dreta de l'Eixample 
1.300,85,2,3,15,La Sagrada Família 
1.250,58,2,2,22,El Fort Pienc 
2.900,140,3,3,21,L'Antiga Esquerra de l'Eixample 
3.000,180,2,3,17,La Dreta de l'Eixample 
1.100,70,1,2,16,La Nova Esquerra de l'Eixample 
1.300,85,1,2,15,L'Antiga Esquerra de l'Eixample 
3.800,140,2,4,27,La Dreta de l'Eixample 
1.450,60,1,2,24,La Sagrada Família 
1.000,70,1,2,14,La Dreta de l'Eixample 
1.100,78,1,2,14,La Sagrada Família 
1.150,90,2,3,13,La Dreta de l'Eixample 
650,35,1,1,19,La Sagrada Família 
1.000,45,1,2,22,La Sagrada Família 
1.200,140,2,4,9,La Nova Esquerra de l'Eixample 
2.300,70,1,1,33,La Nova Esquerra de l'Eixample 
1.590,120,2,3,13,L'Antiga Esquerra de l'Eixample 
1.000,84,1,3,12,Sant Antoni 
1.130,125,2,4,9,La Nova Esquerra de l'Eixample 
950,58,1,2,16,La Dreta de l'Eixample 
1.250,100,1,3,13,La Nova Esquerra de l'Eixample 
2.250,135,3,4,17,L'Antiga Esquerra de l'Eixample 
2.200,141,3,3,16,La Dreta de l'Eixample 
1.450,60,1,2,24,La Dreta de l'Eixample 
1.800,102,2,3,18,La Dreta de l'Eixample 
1.930,139,2,4,14,La Dreta de l'Eixample 
995,56,1,3,18,L'Antiga Esquerra de l'Eixample 
1.250,79,2,3,16,L'Antiga Esquerra de l'Eixample 
1.550,109,2,3,14,L'Antiga Esquerra de l'Eixample 
900,61,1,1,15,La Dreta de l'Eixample 
1.500,67,1,2,22,La Dreta de l'Eixample 
890,70,1,3,13,La Sagrada Família 
950,35,1,1,27,La Nova Esquerra de l'Eixample 
2.000,202,3,4,10,L'Antiga Esquerra de l'Eixample 
1.125,91,2,4,12,La Sagrada Família 
2.000,120,2,3,17,L'Antiga Esquerra de l'Eixample 
2.200,90,2,2,24,La Dreta de l'Eixample 
2.900,120,2,3,24,L'Antiga Esquerra de l'Eixample 
1.600,85,1,2,19,Sant Antoni 
2.500,180,3,2,14,L'Antiga Esquerra de l'Eixample 
2.100,100,2,3,21,La Dreta de l'Eixample 
750,55,1,1,14,El Fort Pienc 
950,70,1,3,14,La Dreta de l'Eixample 
1.650,100,2,3,17,Sant Antoni 
1.850,86,1,3,22,El Fort Pienc 
1.600,114,2,4,14,Sant Antoni 
2.000,95,2,2,21,La Dreta de l'Eixample 
1.400,85,2,3,16,La Sagrada Família 
1.000,62,1,2,16,La Nova Esquerra de l'Eixample 
1.200,105,2,2,11,La Dreta de l'Eixample 
3.500,111,2,3,32,La Dreta de l'Eixample 
795,51,1,3,16,L'Antiga Esquerra de l'Eixample 
2.000,130,3,4,15,L'Antiga Esquerra de l'Eixample 
2.300,90,2,3,26,La Nova Esquerra de l'Eixample 
1.150,61,1,2,19,La Nova Esquerra de l'Eixample 
875,65,1,2,13,La Sagrada Família 
1.200,100,2,4,12,La Sagrada Família 
1.400,125,2,3,11,L'Antiga Esquerra de l'Eixample 
870,65,1,2,13,La Sagrada Família 
900,90,1,3,10,La Nova Esquerra de l'Eixample 
1.250,62,1,2,20,La Dreta de l'Eixample 
800,70,1,1,11,La Sagrada Família 
2.200,120,2,3,18,La Dreta de l'Eixample 
790,55,1,1,14,Sant Antoni 
2.000,130,2,3,15,La Dreta de l'Eixample 
1.100,90,2,3,12,La Dreta de l'Eixample 
1.000,78,2,4,13,La Sagrada Família 
1.350,120,1,3,11,La Nova Esquerra de l'Eixample 
1.100,65,1,2,17,L'Antiga Esquerra de l'Eixample 
700,55,1,2,13,La Nova Esquerra de l'Eixample 
1.800,115,1,2,16,La Nova Esquerra de l'Eixample 
795,51,1,3,16,L'Antiga Esquerra de l'Eixample 
690,40,1,1,17,La Dreta de l'Eixample 
1.200,115,2,4,10,La Sagrada Família 
3.125,133,3,5,23,Sant Antoni 
1.300,80,1,2,16,La Sagrada Família 
1.300,51,1,2,25,L'Antiga Esquerra de l'Eixample 
1.000,62,2,2,16,Sant Antoni 
980,80,1,2,12,La Sagrada Família 
600,48,1,1,13,La Nova Esquerra de l'Eixample 
1.100,75,1,1,15,La Dreta de l'Eixample 
1.245,90,1,3,14,La Sagrada Família 
1.450,100,2,5,15,La Dreta de l'Eixample 
1.600,114,2,4,14,Sant Antoni 
995,62,1,3,16,L'Antiga Esquerra de l'Eixample 
1.450,100,2,3,15,La Nova Esquerra de l'Eixample 
2.100,156,2,4,13,La Dreta de l'Eixample 
1.600,105,2,2,15,L'Antiga Esquerra de l'Eixample 
875,45,1,1,19,La Nova Esquerra de l'Eixample 
1.350,95,4,3,14,La Dreta de l'Eixample 
